case_number,year,country,area,location,activity,sex,age,injured_part,fatal,time,species
1958.07.27.a,1958,USA,Florida,"Longboat Key, Sarasota, Sarasota County","Swimming, ducking for shells in water 0.9 m deep",M,8,hand,N,16,tiger shark
2001.09.30.b,2001,MEXICO,Guerrero,Ixtapa,Body surfing,M,26,hand,N,10,tiger shark
1959.04.11,1959,AUSTRALIA,Torres Strait,"Coconut Island , 100 miles east of Thursday Island",Diving for pearl shell,M,43,hand,N,Unknown,tiger shark
1999.11.23,1999,USA,Hawaii,"Big Island off Kona Village Resort, North Kona",Swimming,F,51,hand,N,17,tiger shark
2013.12.11,2013,USA,Hawaii,"Ninole Bay, Hawaii County",Boogie boarding,M,29,hand,N,8,tiger shark
2012.09.02.b,2012,USA,Hawaii,"Spreckelsville, Maui",Spearfishing,Unknown,Unknown,hand,N,12,tiger shark
2012.10.27,2012,USA,Hawaii,"Makena Landing, Maui",Swimming,F,51,hand,N,15,tiger shark
2015.10.09.a,2015,USA,Hawaii,"Leftovers, Oahu",Surfing,M,25,hand,N,10,tiger shark
1949.01.05,1949,AUSTRALIA,Western Australia,"Leighton Beach, North Fremantle",Unknown,Unknown,Unknown,hand,Unknown,Unknown,tiger shark
1999.05.01,1999,BRAZIL,Pernambuco,"Boa Viagem Beach, Recife",Surfing,M,21,hand,N,15,tiger shark
1992.12.23,1992,USA,Hawaii,"Chun's Reef, Laniakea, O'ahu",Lying on surfboard,M,30,hand,N,17,tiger shark
1959.05.03,1959,USA,Florida,"Panama City, Bay County",Spearfishing,M,19,hand,N,10,tiger shark
2003.11.27,2003,SOUTH AFRICA,KwaZulu-Natal,Sodwana,Spearfishing,M,21,hand,Y,8,tiger shark
1997.10.28.a,1997,USA,Hawaii,"Waiokapua Bay/Majors Bay, Brennecke Beach, Poipu, Kaua'i Island",Body boarding or surfing,M,19,hand,N,7,tiger shark
2006.03.19,2006,FIJI,Vitu Levu,Sigatoka,Surfing,M,21,hand,N,18,tiger shark
1920.06.27,1920,CANADA,Halifax,"Slaunwhite's Ledge, Hubbard Cove",Harpooned shark,Unknown,Unknown,hand,N,Unknown,Unknown
1950.03.26,1950,SOUTH AFRICA,Eastern Cape Province,"Off bank of Ntshala River, Morgan Bay",Wading,M,Unknown,hand,N,15,Unknown
1897.09.17,1897,USA,Rhode Island,Point Judith,Fishing,M,Unknown,hand,N,15,Unknown
1936.03.30,1936,USA,Florida,"Miami, Miami-Date County",Fishing,M,Unknown,hand,N,Unknown,Unknown
2000.07.02.b,2000,USA,Florida,"Smyrna Dunes  Park, New Smyrna Beach, Volusia County",Wading,F,13,hand,N,17,Unknown
1965.09.12,1965,PAPUA NEW GUINEA,East Sepik,Moem Village near Wewak,Fishing (rod & line),M,Unknown,hand,N,14,Unknown
1936.11.27,1936,AUSTRALIA,Torres Strait,Near Thursday Island,Spearfishing ,M,Unknown,hand,N,Unknown,Unknown
2002.06.11.a,2002,USA,Florida,"St Augustine Beach, St Johns County",Surfing,M,28,hand,N,13,Unknown
1961.09.02.R,1961,ITALY,Venice Province, Chioggia,Fishing,M,35,hand,N,Unknown,Unknown
2000.03.24,2000,USA,Florida,"Floridana Beach, Brevard County",Surfing,M,37,hand,N,14,Unknown
1989.08.22.b,1989,USA,Florida,"St Augustine, St Johns County",Swimming,M,21,hand,N,Unknown,Unknown
1963.07.11,1963,USA,Mississippi,Horn Island,"Fishing, on charter boat Silver Dollar",M,24,hand,N,Unknown,Unknown
1988.10.10,1988,USA,Florida,"Playalinda, Brevard County",Surfing,M,23,hand,N,18,Unknown
1962.01.27,1962,NEW ZEALAND,South Island,Oreti Beach,Splashing ,M,18,hand,N,16,Unknown
1939.10.04,1939,USA,Hawaii,"Kane'ohe Bay, Mokapu, O'ahu",Spearfishing & had just speared a ulua,M,Unknown,hand,N,Unknown,Unknown
2007.03.20,2007,AUSTRALIA,New South Wales,South Golden Beach,Surfing,F,42,hand,N,10,Unknown
2015.01.16,2015,AUSTRALIA,New South Wales,"Mollymook Beach, Bannister Head",Filming,M,17,hand,N,Unknown,Unknown
1988.03.16,1988,SOUTH AFRICA,KwaZulu-Natal,Isipingo,Surfing,M,17,hand,N,16,Unknown
1971.10.14,1971,SOUTH AFRICA,KwaZulu-Natal,"North Beach, Durban",Swimming,M,25,hand,N,18,Unknown
1977.11.12,1977,SOUTH AFRICA,Western Cape Province,Klein River Lagoon,Standing,M,Unknown,hand,N,Unknown,Unknown
1962.08.12,1962,USA,New Jersey,"Manasquan, Ocean County",Standing,M,24,hand,N,14,Unknown
1962.01.01,1962,MARSHALL ISLANDS,Kwajalein Atoll,Roi-namur Island,Fishing with hand net in 2' of water,M,57,hand,N,13,Unknown
1990.10.30.b,1990,USA,Florida,"Melbourne Beach, Brevard County",Surfing,M,50,hand,N,16,Unknown
1935.05.12,1935,AUSTRALIA,Torres Strait,On edge of reef near Warrior Island,Pearl diving,M,Unknown,hand,N,Unknown,Unknown
1962.07.28,1962,USA,South Carolina,"Off Hilton Head, Beaufort County ",Standing,M,21,hand,N,Unknown,Unknown
1951.02.19,1951,SOUTH AFRICA,Eastern Cape Province,Port St. Johns,Body surfing,M,31,hand,N,12,Unknown
2014.01.26,2014,AUSTRALIA,New South Wales,Umina Beach,Fishing,M,Unknown,hand,N,Unknown,Unknown
1988.07.23,1988,BAHAMAS,Unknown,Unknown,Free diving & spearfishing ,M,Unknown,hand,N,Unknown,Unknown
2006.11.11,2006,USA,Hawaii,"Kihei, Maui",Swimming,M,29,hand,N,12,Unknown
2014.11.16,2014,USA,Florida,"Indian Harbor Beach, Brevard County",Surfing,M,44,hand,N,13,Unknown
2001.06.03,2001,USA,South Carolina,"Off 21st Avenue, Isle of Palms, Charleston County",Wading,F,29,hand,N,13,Unknown
1950.11.29,1950,AUSTRALIA,Northern Territory,Goulburn Island,Diving ,M,17,hand,N,Unknown,Unknown
1960.00.00.a,1960,SOUTH AFRICA,Eastern Cape Province,Kei River Mouth,Wading,F,Unknown,hand,N,11,Unknown
1941.06.15,1941,USA,New York,15 miles south of Jones Inlet,Fishing from 32' boat,M,43,hand,N,14,Unknown
1981.11.09,1981,USA,Hawaii,"La'au Point, Moloka'i",Diving to untangle a crab trap line from boat's propeller,M,59,hand,N,Unknown,Unknown
1991.11.14,1991,USA,Florida,Near Port Canaveral Coast Guard Base,Fishing,M,Unknown,hand,N,12,Unknown
1961.08.02,1961,USA,Hawaii,"Pearl Harbor Channel, O'ahu","Net fishing, picking catch from the net",M,38,hand,N,17,Unknown
1960.08.04.a,1960,USA,Delaware,"Mispillion Light, Delaware Bay","Fishing, Struck by another shark when removing shark from line",M,46,hand,N,Unknown,Unknown
1961.12.28.b,1961,AUSTRALIA,Queensland,Lambertï¿½ï¿½ï¿½ï¿½ï¿½ï,Standing,M,24,hand,N,16,Unknown
2000.02.01,2000,AUSTRALIA,South Australia,"Point Sinclair, Cactus Beach near Penong",Surfing,M,26,hand,N,Unknown,Unknown
1964.03.00,1964,SENEGAL,Cap Vert Peninsula,"Bel Air, Dakar",Free diving for shell,M,Unknown,hand,N,Unknown,Unknown
1959.11.22,1959,AUSTRALIA,Queensland,"Surfer's Paradise, Northcliffe",Trailing the field in a surf race,M,19,hand,N,11,Unknown
2017.05.30,2017,USA,South Carolina,"Awendaw, Charleston County",Touching a shark,F,20,hand,N,Unknown,Unknown
2014.05.01,2014,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,23,hand,N,15,Unknown
2007.08.26,2007,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,54,hand,N,14,Unknown
1914.05.14,1914,USA,Florida,"Boca Ciega Bay, Pinellas County",Fishing,F,Unknown,hand,N,15,Unknown
2007.08.25,2007,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,27,hand,N,9,Unknown
2007.10.07,2007,USA,California,"Venice Pier, Venice, Los Angeles County",Surfing,M,22,hand,N,20,Unknown
1999.06.17,1999,USA,Florida,"South of Ponce Inlet, Volusia County",Surfing,M,21,hand,N,9,Unknown
2015.11.01.b,2015,USA,Florida,"Cocoa Beach, Brevard  County",Wading,F,28,hand,N,14,Unknown
1959.11.29,1959,AUSTRALIA,Victoria,"Fairhaven Beach, Lorne",Body surfing,M,19,hand,N,14,Unknown
2012.09.02.c,2012,USA,Florida,"New Smyrna Beach, Volusia County",Boogie boarding,F,8,hand,N,18,Unknown
2002.10.03,2002,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,18,hand,N,14,Unknown
1962.02.15,1962,AUSTRALIA,Queensland,Between Smithï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½,Fishing for snappers & cleaning mullet. Put mullet over side of boat to wash it,M,Unknown,hand,N,9,Unknown
1995.05.24,1995,FIJI,Yasawa Islands,Waya Island,Sleeping in anchored boat,M,69,hand,Y,Unknown,Unknown
2017.06.07.R,2017,UNITED KINGDOM,South Devon,Bantham Beach,Surfing ,M,30,hand,N,Unknown,Unknown
2011.08.17.a,2011,RUSSIA,"Telyakovsky Bay, Khasan,  Primorsky Krai (Far East)",Vityaz,Swimming,M,25,hand,N,18,Unknown
2007.06.25,2007,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,20,hand,N,17,Unknown
2006.01.04,2006,USA,Florida,"Round Island Park, Indian River County",Surfing,M,21,hand,N,16,Unknown
2015.10.05.a,2015,USA,Texas,Galveston,Wading,M,13,hand,N,10,Unknown
2014.07.03,2014,USA,South Carolina,"Isle of Palms, Charleston County",Body surfing,M,19,hand,N,18,Unknown
2013.06.14.R,2013,USA,South Carolina,"Myrtle Beach, Horry County",Boogie Boarding,F,10,hand,N,15,Unknown
2003.04.04,2003,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,50,hand,N,8,Unknown
2002.09.30,2002,USA,Florida,"Ormond Beach, Volusia County",Surfing,M,47,hand,N,16,Unknown
1920.11.29,1920,AUSTRALIA,Western Australia,Bunbury,Wading,M,Unknown,hand,N,Unknown,Unknown
1882.12.03,1882,NEW ZEALAND,South Island,New Brighton,Restraining a beached shark,M,Unknown,hand,N,Unknown,Unknown
2014.08.27.b,2014,USA,North Carolina,"Figure Eight Island,  New Hanover County",Surfing,M,29,hand,N,Unknown,Unknown
2008.06.26.a,2008,USA,South Carolina,"Isle of Palms, Charleston County",Swimming,M,37,hand,N,11,Unknown
2015.10.21,2015,USA,Florida,"Playalinda Beach, Brevard County",Surfing,M,21,hand,N,14,Unknown
2012.04.19.b,2012,USA,Florida,"Indialantic, Brevard County",Surfing,M,28,hand,N,19,Unknown
2007.03.14.R,2007,USA,Florida,Delray Beach,Shark fishing,M,Unknown,hand,N,Unknown,Unknown
2016.04.07.b,2016,USA,Florida,"Florida Keys, Monroe County",Fishing,M,34,hand,N,Unknown,Unknown
2015.09.08,2015,AUSTRALIA,New South Wales,North Shelly Beach,Surfing,M,42,hand,N,6,Unknown
1983.05.31,1983,USA,Florida,"Intracoastal Waterway, Boca Raton, Palm Beach County",Water-skiing,M,21,hand,N,18,Unknown
1955.10.16,1955,AUSTRALIA,Queensland,"Tully, North Queensland",Spearfishing & lassoed shark,M,28,hand,N,Unknown,Unknown
1939.02.26,1939,NEW ZEALAND,North Island,Matakana River Mouth,Fishing,M,Unknown,hand,N,Unknown,Unknown
1961.12.18.a,1961,AUSTRALIA,Queensland,Noosa Heads,"Surfing, pushing board ashore",M,22,hand,Y,6,Unknown
2015.07.27,2015,AUSTRALIA,Victoria,Tyrendarra Beach,Surfing,M,40,hand,N,Unknown,Unknown
2015.06.30.b,2015,AUSTRALIA,New South Wales,"Flat Rock, Yamba",Surfing,M,Unknown,hand,N,Unknown,Unknown
2014.09.00,2014,SPAIN,Catalonia,Salou,Playing with an air mattress,M,16,hand,N,Unknown,Unknown
2014.07.12,2014,USA,North Carolina,"Masonboro Island, New Hanover County",Body surfing,M,Unknown,hand,N,Unknown,Unknown
2013.04.04,2013,USA,Florida,"Jensen Beach, Martin County ",Swimming,M,50,hand,N,Unknown,Unknown
2012.03.01,2012,CHILE,Antofagasta Province,Antofagasta,Fishing (illegally),M,Unknown,hand,N,Unknown,Unknown
2010.12.03.R,2010,INDONESIA,Bali,Balian,Surfing,M,Unknown,hand,N,Unknown,Unknown
2010.11.14,2010,INDONESIA,Bali,Balian,Surfing,M,Unknown,hand,N,Unknown,Unknown
2009.01.10.a,2009,ECUADOR,Galapagos Islands,Isla Isabella,Surfing,M,22,hand,N,Unknown,Unknown
2008.06.07,2008,USA,Florida,"Cocoa Beach, Brevard  County",Body surfing,M,40,hand,N,Unknown,Unknown
2007.12.15,2007,AUSTRALIA,Queensland,South Stradbroke Island,Swimming,M,15,hand,N,Unknown,Unknown
2003.11.12.a,2003,USA,Florida,"South Jetty, New Smyrna Beach, Volusia County",Surfing,M,24,hand,N,Unknown,Unknown
2003.04.23.a,2003,BRAZIL,Rio de Janeiro,"Copacabana Beach, Rio de Janiero",Swimming,M,7,hand,N,Unknown,Unknown
2001.07.03,2001,USA,South Carolina,"Isle of Palms, Charleston County ",Unknown,Unknown,Unknown,hand,N,Unknown,Unknown
2000.12.24,2000,AUSTRALIA,Queensland,Flinders Cay,Scuba diving,M,23,hand,N,Unknown,Unknown
2000.08.21,2000,USA,North Carolina,"Bouges Bank, Emerald Isle, Carteret County",Swimming out to porpoises ,M,Unknown,hand,N,Unknown,Unknown
2000.07.16.a,2000,SOUTH AFRICA,Eastern Cape Province,"Nahoon, East London",Surfing,M,15,hand,N,Unknown,Unknown
1998.10.10,1998,USA,Florida,"Sebastian Inlet, Indian River County",Surfing,M,Unknown,hand,N,Unknown,Unknown
1960.03.31,1960,USA,Florida,"Off Boca Raton Hotel & Club, Boca Raton, Palm Beach County",Treading water,M,42,hand,N,12,Unknown
1995.04.16,1995,USA,Florida,"New Smyrna Beach, Volusia County",Unknown,M,12,hand,N,10,Unknown
2003.02.15.a,2003,USA,Florida,"Jupiter, Palm Beach County",Swimming,M,54,hand,N,12,Unknown
2017.04.10.a,2017,USA,Florida,"Melbourne Beach, Brevard County",Swimming,F,21,hand,N,17,Unknown
1997.02.20,1997,REUNION,L'Etang-Sale,Unknown,Unknown,M,Unknown,hand,N,Unknown,Unknown
2017.02.11,2017,USA,Florida,"Melbourne Beach, Brevard County",Swimming,M,22,hand,N,13,Unknown
2017.01.13.b,2017,AUSTRALIA,Queensland,Clairview,Swimming,M,57,hand,N,13,Unknown
1996.12.00.a,1996,NEW CALEDONIA,South Province,L'llot Maetre,Attempting to attract dolphins,F,Unknown,hand,N,Unknown,Unknown
2016.09.18.b,2016,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,36,hand,N,11,Unknown
1995.07.28.a,1995,USA,South Carolina,"Pawleys Island, Georgetown County",Unknown,M,12,hand,N,Unknown,Unknown
2015.09.20.a,2015,USA,Florida,"Vilano Beach, St.  Johns County",Photographing fish,M,16,hand,N,7,Unknown
2016.07.06,2016,USA,Florida,"Melbourne Beach, Brevard County",Swimming,F,42,hand,N,14,Unknown
2015.03.10,2015,MEXICO,Sinaloa,Mazlatan,Fishing,M,36,hand,N,10,Unknown
1988.03.14,1988,REUNION,Saint-Pierre,Pic du Diable,Surfing,M,Unknown,hand,N,18,Unknown
1994.09.26,1994,USA,South Carolina,"North Forest Beach, near Hilton Head, Beaufort County",Swimming,F,30,hand,N,Unknown,Unknown
2014.10.12,2014,USA,Florida,"Melbourne Beach, Brevard County",Body surfing or Boogie boarding,F,Unknown,hand,N,15,Unknown
2013.09.29.b,2013,USA,Florida,"Melbourne Beach, Brevard County",Surfing,M,50,hand,N,10,Unknown
2013.09.29.a,2013,ISRAEL,Southern District,Ashdod,Diving,M,27,hand,N,11,Unknown
2013.06.17,2013,USA,Texas,"Surfside Beach, Brazoria County",Swimming,M,15,hand,N,14,Unknown
2012.09.04,2012,USA,Florida,"Melbourne Beach, Brevard County",Surfing,M,32,hand,N,7,Unknown
2016.10.29,2016,USA,Florida,Mayport Naval Station  Duval County,Surfing,M,42,hand,N,15,Unknown
2011.12.31,2011,USA,Florida,"Jupiter, Palm Beach County",Unknown,M,Unknown,hand,N,18,Unknown
2011.11.29,2011,INDONESIA,Bali,Tabanan,Surfing,M,18,hand,N,13,Unknown
2010.09.03.b,2010,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,24,hand,N,12,Unknown
2011.04.08,2011,FIJI,Vitu Levu,"Malake Island, Ra Province",Diving,M,27,hand,N,15,Unknown
2010.01.22.a,2010,AUSTRALIA,Victoria,Geelong,Surfing,M,Unknown,hand,N,7,Unknown
1988.04.14.b,1988,USA,Florida,"Singer Island, Riviera Beach, Palm Beach County",Surfing,M,14,hand,N,Unknown,Unknown
2009.01.24.b,2009,AUSTRALIA,New South Wales,"Surf Beach, Batemans Bay",Swimming,M,19,hand,N,16,Unknown
1987.05.08,1987,USA,Florida,"St Augustine, St. Johns County",Surfing,M,Unknown,hand,N,Unknown,Unknown
1986.09.00.a,1986,USA,Florida,"Ponce Inlet, New Smyrna Beach, Volusia County",Surfing,Unknown,18,hand,N,Unknown,Unknown
1986.08.19,1986,USA,North Carolina,"Masonboro Inlet, New Hanover County",Surfing,Unknown,16,hand,N,Unknown,Unknown
2007.06.30.a,2007,USA,California,"Will Rogers State Beach, Los Angeles County",Swimming,F,Unknown,hand,N,10,Unknown
1985.03.16,1985,USA,Florida,"Palm Beach, Palm Beach County",Surfing,M,25,hand,N,Unknown,Unknown
2006.04.03,2006,USA,Florida,"Marco Island, Collier County",Wading,M,11,hand,N,12,Unknown
2005.07.27,2005,USA,Florida,"Off Zelda Boulevard, Daytona Beach, Volusia Countyy",Wading,F,13,hand,N,18,Unknown
1970.00.00.d,1970,IRAQ,Basrah,Shatt-al-Arab River,Washing cooking pans,F,28,hand,N,15,Unknown
1970.00.00.a,1970,IRAQ,Basrah,Shatt-al-Arab River,"Fishing, trying to catch the end of his fishing line",M,35,hand,N,15,Unknown
1981.09.27,1981,USA,Florida,"Melbourne Beach, Brevard County",Surfing,Unknown,Unknown,hand,N,Unknown,Unknown
2003.10.05.e,2003,USA,Florida,"Ocean Reef Park, Singer Island, Palm Beach County",Surfing,F,Unknown,hand,N,15,Unknown
2003.07.20,2003,USA,Florida,"Ponce Inlet, New Smyrna Beach, Volusia County",Surfing,M,18,hand,N,15,Unknown
1980.04.25,1980,JAMAICA,St. Mary's Parish,"Priestman's River area, East Portland",Spearfishing,M,Unknown,hand,N,Unknown,Unknown
2002.09.29,2002,USA,Florida,"Sebastian Inlet, Brevard County",Surfing,M,32,hand,N,7,Unknown
1979.00.00,1979,USA,Hawaii,"South Kohala, Hawai'i",Fishing,M,Unknown,hand,Y,Unknown,Unknown
1978.11.23,1978,USA,Florida,"Jupiter, Palm Beach County",Surfing,M,17,hand,N,Unknown,Unknown
1978.04.02.b,1978,MARSHALL ISLANDS,Ralik Archipelago,Enewetak Atoll,Diving,M,25,hand,N,Unknown,Unknown
1977.12.19.b,1977,USA,Florida,"Hobe Sound, Palm Beach County",Surfing,M,27,hand,N,Unknown,Unknown
2001.03.23,2001,USA,Hawaii,"Sandy Beach, Oahu",Body-boarding,M,Unknown,hand,N,14,Unknown
2000.10.14,2000,USA,Florida,"South Beach, Sebastian, Indian River County",Swimming,M,69,hand,N,15,Unknown
1975.11.07,1975,AUSTRALIA,Queensland,Lookout Point,Unknown,M,Unknown,hand,N,Unknown,Unknown
1975.03.18,1975,AUSTRALIA,Queensland,Mornington Island,Unknown,F,Unknown,hand,N,Unknown,Unknown
1999.11.30,1999,USA,Florida,"Palm Beach, Palm Beach County",Surfing,M,19,hand,N,15,Unknown
1900.08.21,1900,USA,North Carolina,"Southport, Brunswick County",Bathing,M,Unknown,hand,N,15,Unknown
1972.12.22,1972,AUSTRALIA,Queensland,Currumbin Rock,Unknown,M,Unknown,hand,N,Unknown,Unknown
ND.0065,1960,IRAQ,Basrah,Shatt-al-Arab River,Fishing from a small boat & put his hand in the water while holding a dead fish,M,25,hand,N,15,Unknown
1991.06.26,1991,USA,Florida,"Jacksonville Beach, Duval County",Surfing,M,18,hand,N,17,Unknown
1991.01.19,1991,AUSTRALIA,Queensland,Mermaid Waters,Swimming,M,35,hand,N,8,Unknown
1985.07.25.a,1985,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,15,hand,N,10,Unknown
1966.09.19,1966,USA,Hawaii,50 miles NE of Honolulu,Fishing,M,20,hand,N,Unknown,Unknown
1981.09.03.b,1981,USA,Florida,"Patrick Air Force Base, Brevard County",Surfing,M,25,hand,N,12,Unknown
1975.06.23.a,1975,USA,South Carolina,"North Myrtle Beach, Horry County",Standing,F,15,hand,N,14,Unknown
1968.08.11,1968,MALAYSIA,Johor,Pulau Aur,Leaving the water,Unknown,41,hand,N,8,Unknown
1963.10.15,1963,NORTH PACIFIC OCEAN,Unknown,Unknown,Fishing for sharks,M,20,hand,N,Unknown,Unknown
1964.02.11,1964,NEW ZEALAND,North Island,"Palliser Bay, Whatarangi (east of Wellington)",preparing to go skin diving,M,Unknown,hand,N,12,Unknown
1962.07.10,1962,USA,Georgia,"St. Simons Island or Jeykll Island, Glynn County",Playing in surf with his child  (9),M,41,hand,N,17,Unknown
1962.07.07,1962,USA,Georgia,"Jekyll Island, Glynn County",Dived from inner-tube,M,13,hand,N,14,Unknown
2017.01.13.a,2017,USA,Florida,Jensen Beach,Unknown,M,Unknown,hand,N,9,Unknown
1961.09.24.a,1961,TANZANIA,Unknown,Near entrance to Dar-es-Salaam Harbour,Fishing,M,42,hand,N,7,Unknown
2015.06.19,2015,PUERTO RICO,Unknown,Off Cabo Rojo,Spearfishing,M,36,hand,N,9,Unknown
2008.09.00,2008,USA,Florida,Hutchinson Island,Surfing,M,Unknown,hand,N,9,Unknown
1959.11.01,1959,PAPUA NEW GUINEA,New Britain,"Rapindik Beach, Rabaul",Fishing,M,Unknown,hand,N,Unknown,Unknown
1967.11.15,1967,FIJI,Unknown,Unknown,Freediving,M,21,hand,N,9,Unknown
1928.04.04,1928,AUSTRALIA,New South Wales,"Cooks Hill, Newcastle",Standing in waist-deep water,M,28,hand,Y,18,Unknown
1958.00.00.i,1958,SAMOA,South Pacific Ocean,North of Northeast Samoa,Placed hand in disemboweled sharkï¿½ï¿½ï,Unknown,Unknown,hand,N,Unknown,Unknown
1958.00.00.c,1958,PAPUA NEW GUINEA,Morobe Province,"Korem, Finschhafen ","Fishing, holding fish",M,Unknown,hand,N,Unknown,Unknown
1955.04.00,1955,USA,Hawaii,"Hilo, Hawai'i","Fishing from boat, Kaimamla",M,Unknown,hand,N,Unknown,Unknown
1954.07.28,1954,SINGAPORE,Unknown,Singapore Harbor,Closed circuit diving (submerged). Diving to recover jettisoned packets of opium for police,M,28,hand,Y,Unknown,Unknown
1977.07.02,1977,USA,California,"Off San Diego, San Diego County",40' fishing boat sank,M,21,hand,N,21,Unknown
1953.09.18,1953,USA,Georgia,200 miles east of Savannah,Aircaft exploded,M,Unknown,hand,N,Unknown,Unknown
1953.07.00,1953,PANAMA,Gulf of Panama,60 miles offshore ,Retrieving bait box that had fallen overboard,M,19,hand,N,Unknown,Unknown
1953.02.18,1953,USA,Hawaii,Barberï¿½ï¿½ï¿½ï¿½ï¿½,Bitten while cutting shark from net,M,Unknown,hand,N,Unknown,Unknown
1952.07.13,1952,USA,California,"San Diego, San Diego County",Fishing,M,34,hand,N,Unknown,Unknown
1951.12.21,1951,MOZAMBIQUE,Bay of Maputu,Catembe ,Swimming,M,15,hand,Y,Unknown,Unknown
1951.09.03.R,1951,ITALY,Salerno Province,Salerno,Fishing for squid,M,Unknown,hand,N,21,Unknown
1951.11.28.b,1951,JAMAICA,Kingston Parish,Kingston Harbor,Fishing,M,81,hand,N,Unknown,Unknown
1703.03.26,1703,BARBADOS,Southwest coast,Carlisle Bay,Swimming,M,19,hand,N,21,Unknown
1949.08.10.R,1949,ITALY,Calabria,Cosenza,Swimming,M,21,hand,N,Unknown,Unknown
1949.05.13,1949,AUSTRALIA,New South Wales,Nelson's Bay,"Examining netted shark, that had been shot",M,26,hand,N,Unknown,Unknown
1949.00.00.b,1949,PAPUA NEW GUINEA,Bougainville (North Solomons),"Sohano Island, Buka Passage",Swimming close to wharf,M,Unknown,hand,N,Unknown,Unknown
1948.12.10,1948,AUSTRALIA,Queensland,Rib Reef off Townsville,Fishing,M,Unknown,hand,N,Unknown,Unknown
1948.00.00.c,1948,NEW GUINEA,Morobe Province,Finschafen  ,"Fishing, holding fish in right hand",M,Unknown,hand,N,Unknown,Unknown
1945.00.00.d,1945,JAMAICA,Unknown,Unknown,Diving,M,Unknown,hand,N,Unknown,Unknown
1942.10.12,1942,SOLOMON ISLANDS,Makora-Ulawa Province,Cape Esperance (near Savo Islands),"His ship, the US destroyer Duncan DD 485, had been  sunk by crossfire from Japanese warships. He was wearing a kapok lifejacket & using 2 aluminum powder tins for floatation  ",M,25,hand,N,Unknown,Unknown
1941.02.13.,1941,AUSTRALIA,New South Wales,Wollongong,Fishing,M,34,hand,N,Unknown,Unknown
1940.00.00.d,1940,PAPUA NEW GUINEA,Western Papuan Gulf,Kerema ,male,Unknown,Unknown,hand,N,Unknown,Unknown
1938.08.18,1938,USA,California,"Near Encino, Los Angeles County",Fishing,M,Unknown,hand,N,Unknown,Unknown
1935.04.08.R,1935,USA,California,"Hermosa Beach, Los Angeles County",Unknown,M,Unknown,hand,N,Unknown,Unknown
1933.10.25.R,1933,AUSTRALIA,Queensland,Off Bloomfield River,Diving,M,Unknown,hand,N,Unknown,Unknown
1932.12.09.R,1932,NEW ZEALAND,North Island,Mahurangi River Mouth,Fishing ,M,Unknown,hand,N,Unknown,Unknown
1932.08.30.b,1932,AUSTRALIA,New South Wales,Bondi,Unknown,M,Unknown,hand,N,Unknown,Unknown
1929.00.00.b,1929,AUSTRALIA,New South Wales,"Garden Island, Sydney",Unknown,M,Unknown,hand,N,Unknown,Unknown
1929.00.00.a,1929,USA,Florida,"Cape Canaveral, Brevard County",Hardhat diving ,M,27,hand,N,Unknown,Unknown
1928.02.00.a,1928,COSTA RICA,Near Puntarenas,Unknown,Swimming,M,Unknown,hand,N,Unknown,Unknown
1927.02.14,1927,NICARAGUA,Salinas Bay,"A shark was caught, its head severed from body and hung from the anchor davit onboard the U.S.S. Borie",Feeling the sharkï¿½ï¿½ï¿,M,Unknown,hand,N,Unknown,Unknown
1927.01.08.R,1927,USA,California,"Catalina Channel, Los Angeles County",Swimming,M,Unknown,hand,N,Unknown,Unknown
1925.09.04,1925,SPAIN,Valencia ,Valencia,Fishing,M,Unknown,hand,N,Unknown,Unknown
1923.02.00,1923,USA,Puerto Rico,San Juan,Swimming ,M,25,hand,N,Unknown,Unknown
1913.05.21,1913,USA,Florida,"John's Pass, Pinellas County",Fishing,M,Unknown,hand,N,Unknown,Unknown
1906.09.27.R.b,1906,INDONESIA,Java,Lorok Bay,Swimming,M,Unknown,hand,N,Unknown,Unknown
1906.07.00,1906,MOZAMBIQUE,Maputo Province,Lourenco Marques,Unknown,M,Unknown,hand,Y,Unknown,Unknown
1902.11.01.R,1902,USA,Texas,"Near Port Lavaca, Calhoun County",Fishing,M,Unknown,hand,N,Unknown,Unknown
1902.06.00,1902,EGYPT,Mediterranean Sea,"Tzortzou Reef, Marsa Matruh",Sponge diving,M,Unknown,hand,N,Unknown,Unknown
1898.00.00.d,1898,JAMAICA,Kingston Parish,Kingston Harbor,Trailing hand in the water,F,Unknown,hand,N,Unknown,Unknown
1892.09.16.R,1892,USA,Texas,Velasco,Unknown,M,Unknown,hand,N,Unknown,Unknown
1891.12.22.R,1891,NEW ZEALAND,North Island,"Manukau Harbor, 6 miles south of Auckland","Swimming, after boat swamped",M,Unknown,hand,N,Unknown,Unknown
